Position,Name,Rating,Team,Season
Edge,Khalil Mack,86.2,Chicago Bears,2020
WR,Allen Robinson,80.8,Chicago Bears,2020
Edge,Robert Quinn,68.5,Chicago Bears,2020
WR,Anthony Miller,66.0,Chicago Bears,2020
LB,Roquan Smith,52.4,Chicago Bears,2020
WR,Ted Ginn Jr.,56.7,Chicago Bears,2020
LB,Danny Trevathan,61.9,Chicago Bears,2020
LT,Charles Leno Jr.,58.6,Chicago Bears,2020
CB,Kyle Fuller,62.5,Chicago Bears,2020
LG,James Daniels,69.9,Chicago Bears,2020
CB,Jaylon Johnson,83.8,Chicago Bears,2020
C,Cody Whitehair,64.9,Chicago Bears,2020
CB,Buster Skrine,59.8,Chicago Bears,2020
RG,Germain Ifedi,58.8,Chicago Bears,2020
S,Tashaun Gipson Sr.,59.5,Chicago Bears,2020
RT,Bobby Massie,63.2,Chicago Bears,2020
S,Eddie Jackson,66.8,Chicago Bears,2020
QB,Jared Goff,72.4,Los Angeles Rams,2020
DI,Aaron Donald,93.6,Los Angeles Rams,2020
RB,Cam Akers,79.2,Los Angeles Rams,2020
DI,A'Shawn Robinson,56.0,Los Angeles Rams,2020
RB,Darrell Henderson Jr.,88.1,Los Angeles Rams,2020
DI,Michael Brockers,74.6,Los Angeles Rams,2020
TE,Tyler Higbee,86.1,Los Angeles Rams,2020
Edge,Leonard Floyd,69.7,Los Angeles Rams,2020
WR,Robert Woods,82.2,Los Angeles Rams,2020
Edge,Samson Ebukam,66.7,Los Angeles Rams,2020
WR,Cooper Kupp,74.6,Los Angeles Rams,2020
LB,Micah Kiser,73.3,Los Angeles Rams,2020
WR,Josh Reynolds,65.9,Los Angeles Rams,2020
LB,Travin Howard,60.7,Los Angeles Rams,2020
LT,Andrew Whitworth,72.8,Los Angeles Rams,2020
CB,Jalen Ramsey,71.5,Los Angeles Rams,2020
LG,Austin Corbett,51.8,Los Angeles Rams,2020
CB,Troy Hill,76.4,Los Angeles Rams,2020
C,Austin Blythe,50.3,Los Angeles Rams,2020
S,Terrell Burgess,85.3,Los Angeles Rams,2020
RG,David Edwards,61.0,Los Angeles Rams,2020
S,Taylor Rapp,63.2,Los Angeles Rams,2020
RT,Rob Havenstein,50.9,Los Angeles Rams,2020
S,John Johnson III,53.5,Los Angeles Rams,2020
QB,Deshaun Watson,82.4,Houston Texans,2020
DI,Brandon Dunn,55.3,Houston Texans,2020
RB,David Johnson,72.2,Houston Texans,2020
DI,Ross Blacklock,81.5,Houston Texans,2020
RB,Duke Johnson,75.9,Houston Texans,2020
DI,Charles Omenihu,59.8,Houston Texans,2020
TE,Darren Fells,56.6,Houston Texans,2020
Edge,J.J. Watt,87.0,Houston Texans,2020
WR,Brandin Cooks,68.1,Houston Texans,2020
Edge,Whitney Mercilus,63.7,Houston Texans,2020
WR,Will Fuller V,75.2,Houston Texans,2020
LB,Zach Cunningham,68.6,Houston Texans,2020
WR,Randall Cobb,69.9,Houston Texans,2020
LB,Benardrick McKinney,65.8,Houston Texans,2020
LT,Laremy Tunsil,75.1,Houston Texans,2020
CB,Bradley Roby,64.0,Houston Texans,2020
LG,Max Scharping,59.1,Houston Texans,2020
CB,Gareon Conley,64.5,Houston Texans,2020
C,Nick Martin,67.3,Houston Texans,2020
CB,John Reid,73.4,Houston Texans,2020
RG,Zach Fulton,53.4,Houston Texans,2020
S,Eric Murray,62.5,Houston Texans,2020
RT,Tytus Howard,59.4,Houston Texans,2020
S,Justin Reid,76.7,Houston Texans,2020
QB,Kyler Murray,64.2,Arizona Cardinals,2020
DI,Jordan Phillips,51.8,Arizona Cardinals,2020
RB,Kenyan Drake,71.2,Arizona Cardinals,2020
DI,Corey Peters,65.1,Arizona Cardinals,2020
RB,Chase Edmonds,69.8,Arizona Cardinals,2020
DI,Zach Allen,90.9,Arizona Cardinals,2020
TE,Maxx Williams,79.1,Arizona Cardinals,2020
Edge,Chandler Jones,84.9,Arizona Cardinals,2020
WR,DeAndre Hopkins,87.8,Arizona Cardinals,2020
Edge,Devon Kennard,69.1,Arizona Cardinals,2020
WR,Christian Kirk,62.5,Arizona Cardinals,2020
LB,Isaiah Simmons,88.5,Arizona Cardinals,2020
WR,Larry Fitzgerald,70.3,Arizona Cardinals,2020
LB,Jordan Hicks,61.0,Arizona Cardinals,2020
LT,D.J. Humphries,64.5,Arizona Cardinals,2020
CB,Patrick Peterson,68.6,Arizona Cardinals,2020
LG,Justin Pugh,66.8,Arizona Cardinals,2020
CB,Robert Alford,56.6,Arizona Cardinals,2020
C,Mason Cole,52.5,Arizona Cardinals,2020
CB,Byron Murphy Jr.,48.8,Arizona Cardinals,2020
RG,J.R. Sweezy,61.6,Arizona Cardinals,2020
S,Budda Baker,71.4,Arizona Cardinals,2020
RT,Marcus Gilbert,69.6,Arizona Cardinals,2020
S,Jalen Thompson,64.4,Arizona Cardinals,2020
QB,Derek Carr,79.9,Las Vegas Raiders,2020
DI,Maurice Hurst,73.1,Las Vegas Raiders,2020
RB,Josh Jacobs,87.1,Las Vegas Raiders,2020
DI,Johnathan Hankins,63.8,Las Vegas Raiders,2020
RB,Lynn Bowden Jr.,73.0,Las Vegas Raiders,2020
Edge,Maxx Crosby,65.5,Las Vegas Raiders,2020
TE,Darren Waller,83.2,Las Vegas Raiders,2020
Edge,Clelin Ferrell,62.2,Las Vegas Raiders,2020
WR,Henry Ruggs III,75.0,Las Vegas Raiders,2020
LB,Cory Littleton,79.0,Las Vegas Raiders,2020
WR,Tyrell Williams,66.5,Las Vegas Raiders,2020
LB,Nick Kwiatkoski,72.6,Las Vegas Raiders,2020
WR,Hunter Renfrow,75.5,Las Vegas Raiders,2020
LB,Nicholas Morrow,45.5,Las Vegas Raiders,2020
LT,Kolton Miller,64.9,Las Vegas Raiders,2020
CB,Prince Amukamara,67.4,Las Vegas Raiders,2020
LG,Richie Incognito,74.0,Las Vegas Raiders,2020
CB,Trayvon Mullen,64.4,Las Vegas Raiders,2020
C,Rodney Hudson,71.0,Las Vegas Raiders,2020
CB,Lamarcus Joyner,46.2,Las Vegas Raiders,2020
RG,Gabe Jackson,61.8,Las Vegas Raiders,2020
S,Johnathan Abram,77.9,Las Vegas Raiders,2020
RT,Trent Brown,69.1,Las Vegas Raiders,2020
S,Damarious Randall,69.3,Las Vegas Raiders,2020
QB,Joe Burrow,95.0,Cincinnati Bengals,2020
DI,Geno Atkins,76.2,Cincinnati Bengals,2020
RB,Joe Mixon,75.3,Cincinnati Bengals,2020
DI,D.J. Reader,85.5,Cincinnati Bengals,2020
RB,Giovani Bernard,51.8,Cincinnati Bengals,2020
Edge,Carlos Dunlap,89.7,Cincinnati Bengals,2020
TE,C.J. Uzomah,49.4,Cincinnati Bengals,2020
Edge,Sam Hubbard,67.1,Cincinnati Bengals,2020
WR,A.J. Green,85.2,Cincinnati Bengals,2020
LB,Logan Wilson,90.6,Cincinnati Bengals,2020
WR,Tee Higgins,90.5,Cincinnati Bengals,2020
LB,Germaine Pratt,51.2,Cincinnati Bengals,2020
WR,Tyler Boyd,73.0,Cincinnati Bengals,2020
LB,Akeem Davis-Gaither,76.5,Cincinnati Bengals,2020
LT,Jonah Williams,89.2,Cincinnati Bengals,2020
CB,William Jackson III,53.6,Cincinnati Bengals,2020
LG,Michael Jordan,43.7,Cincinnati Bengals,2020
CB,Trae Waynes,67.0,Cincinnati Bengals,2020
C,Trey Hopkins,62.4,Cincinnati Bengals,2020
CB,Mackensie Alexander,65.7,Cincinnati Bengals,2020
RG,Xavier Su'a-Filo,60.1,Cincinnati Bengals,2020
S,Vonn Bell,64.9,Cincinnati Bengals,2020
RT,Bobby Hart,57.7,Cincinnati Bengals,2020
S,Jessie Bates III,59.6,Cincinnati Bengals,2020
QB,Daniel Jones,65.7,New York Giants,2020
DI,Leonard Williams,70.5,New York Giants,2020
RB,Saquon Barkley,72.2,New York Giants,2020
DI,Dalvin Tomlinson,78.1,New York Giants,2020
RB,Dion Lewis,59.8,New York Giants,2020
DI,Dexter Lawrence,76.1,New York Giants,2020
TE,Evan Engram,64.1,New York Giants,2020
Edge,Kyler Fackrell,58.0,New York Giants,2020
WR,Sterling Shepard,75.8,New York Giants,2020
Edge,Oshane Ximines,60.8,New York Giants,2020
WR,Golden Tate,73.9,New York Giants,2020
LB,Blake Martinez,57.9,New York Giants,2020
WR,Darius Slayton,70.3,New York Giants,2020
LB,David Mayo,72.8,New York Giants,2020
LT,Andrew Thomas,92.7,New York Giants,2020
CB,James Bradberry,61.7,New York Giants,2020
LG,Will Hernandez,58.4,New York Giants,2020
CB,DeAndre Baker,48.4,New York Giants,2020
C,Spencer Pulley,56.7,New York Giants,2020
CB,Julian Love,70.5,New York Giants,2020
RG,Kevin Zeitler,76.4,New York Giants,2020
S,Xavier McKinney,87.6,New York Giants,2020
RT,Nate Solder,64.8,New York Giants,2020
S,Jabrill Peppers,66.6,New York Giants,2020
QB,Sam Darnold,63.2,New York Jets,2020
DI,Quinnen Williams,67.4,New York Jets,2020
RB,Le'Veon Bell,73.8,New York Jets,2020
DI,Steve McLendon,81.3,New York Jets,2020
TE,Ryan Griffin,61.9,New York Jets,2020
DI,Henry Anderson,55.8,New York Jets,2020
TE,Chris Herndon,74.4,New York Jets,2020
Edge,Jordan Jenkins,66.9,New York Jets,2020
WR,Breshad Perriman,72.8,New York Jets,2020
Edge,Tarell Basham,73.1,New York Jets,2020
WR,Jamison Crowder,73.0,New York Jets,2020
LB,C.J. Mosley,73.6,New York Jets,2020
WR,Denzel Mims,81.9,New York Jets,2020
LB,Avery Williamson,73.9,New York Jets,2020
LT,Mekhi Becton,83.0,New York Jets,2020
CB,Pierre Desir,58.8,New York Jets,2020
LG,Alex Lewis,56.1,New York Jets,2020
CB,Blessuan Austin,71.4,New York Jets,2020
C,Connor McGovern,72.0,New York Jets,2020
CB,Brian Poole,79.0,New York Jets,2020
RG,Greg Van Roten,65.6,New York Jets,2020
S,Jamal Adams,87.9,New York Jets,2020
RT,George Fant,60.6,New York Jets,2020
S,Marcus Maye,74.6,New York Jets,2020
QB,Teddy Bridgewater,73.0,Carolina Panthers,2020
Edge,Brian Burns,63.7,Carolina Panthers,2020
RB,Christian McCaffrey,86.6,Carolina Panthers,2020
DI,Kawann Short,83.7,Carolina Panthers,2020
RB,Mike Davis,74.6,Carolina Panthers,2020
DI,Derrick Brown,90.4,Carolina Panthers,2020
TE,Ian Thomas,51.8,Carolina Panthers,2020
Edge,Yetur Gross-Matos,84.7,Carolina Panthers,2020
WR,DJ Moore,82.3,Carolina Panthers,2020
LB,Shaq Thompson,65.9,Carolina Panthers,2020
WR,Robby Anderson,68.6,Carolina Panthers,2020
LB,Tahir Whitehead,55.2,Carolina Panthers,2020
WR,Curtis Samuel,62.7,Carolina Panthers,2020
LB,Jermaine Carter,54.0,Carolina Panthers,2020
LT,Russell Okung,79.3,Carolina Panthers,2020
CB,Donte Jackson,55.6,Carolina Panthers,2020
LG,John Miller,58.6,Carolina Panthers,2020
CB,Eli Apple,63.8,Carolina Panthers,2020
C,Matt Paradis,63.4,Carolina Panthers,2020
S,Jeremy Chinn,86.7,Carolina Panthers,2020
RG,Michael Schofield III,63.6,Carolina Panthers,2020
S,Juston Burris,69.5,Carolina Panthers,2020
RT,Taylor Moton,76.2,Carolina Panthers,2020
S,Tre Boston,76.4,Carolina Panthers,2020
QB,Ryan Fitzpatrick,76.5,Miami Dolphins,2020
DI,Christian Wilkins,64.4,Miami Dolphins,2020
RB,Jordan Howard,69.0,Miami Dolphins,2020
DI,Davon Godchaux,64.1,Miami Dolphins,2020
RB,Matt Breida,68.3,Miami Dolphins,2020
DI,Raekwon Davis,81.1,Miami Dolphins,2020
TE,Mike Gesicki,60.5,Miami Dolphins,2020
Edge,Kyle Van Noy,84.2,Miami Dolphins,2020
WR,DeVante Parker,79.2,Miami Dolphins,2020
Edge,Shaq Lawson,67.9,Miami Dolphins,2020
WR,Preston Williams,67.7,Miami Dolphins,2020
LB,Jerome Baker,46.2,Miami Dolphins,2020
WR,Albert Wilson,62.3,Miami Dolphins,2020
LB,Raekwon McMillan,63.9,Miami Dolphins,2020
LT,Austin Jackson,74.1,Miami Dolphins,2020
CB,Byron Jones,76.1,Miami Dolphins,2020
LG,Ereck Flowers,64.2,Miami Dolphins,2020
CB,Xavien Howard,77.3,Miami Dolphins,2020
C,Ted Karras,66.5,Miami Dolphins,2020
CB,Noah Igbinoghene,71.3,Miami Dolphins,2020
RG,Robert Hunt,87.1,Miami Dolphins,2020
S,Eric Rowe,58.9,Miami Dolphins,2020
RT,Jesse Davis,58.9,Miami Dolphins,2020
S,Bobby McCain,61.9,Miami Dolphins,2020
QB,Dwayne Haskins Jr.,67.6,Washington Commanders,2020
DI,Jonathan Allen,60.5,Washington Commanders,2020
RB,Derrius Guice,76.0,Washington Commanders,2020
DI,Daron Payne,67.4,Washington Commanders,2020
RB,Adrian Peterson,67.7,Washington Commanders,2020
Edge,Chase Young,96.0,Washington Commanders,2020
TE,Jeremy Sprinkle,49.8,Washington Commanders,2020
Edge,Montez Sweat,60.2,Washington Commanders,2020
WR,Terry McLaurin,85.7,Washington Commanders,2020
LB,Cole Holcomb,56.0,Washington Commanders,2020
WR,Steven Sims Jr.,64.4,Washington Commanders,2020
LB,Thomas Davis Sr.,61.7,Washington Commanders,2020
WR,Kelvin Harmon,63.9,Washington Commanders,2020
LB,Jon Bostic,55.3,Washington Commanders,2020
LT,Cornelius Lucas III,72.2,Washington Commanders,2020
CB,Ronald Darby,44.8,Washington Commanders,2020
LG,Wes Schweitzer,56.4,Washington Commanders,2020
CB,Kendall Fuller,70.1,Washington Commanders,2020
C,Chase Roullier,69.3,Washington Commanders,2020
CB,Fabian Moreau,52.7,Washington Commanders,2020
RG,Brandon Scherff,75.0,Washington Commanders,2020
S,Landon Collins,69.3,Washington Commanders,2020
RT,Morgan Moses,65.2,Washington Commanders,2020
S,Sean Davis,69.7,Washington Commanders,2020
QB,Gardner Minshew II,70.3,Jacksonville Jaguars,2020
DI,Taven Bryan,75.6,Jacksonville Jaguars,2020
RB,Leonard Fournette,64.0,Jacksonville Jaguars,2020
DI,Davon Hamilton,82.3,Jacksonville Jaguars,2020
RB,Chris Thompson,65.4,Jacksonville Jaguars,2020
DI,Rodney Gunter,65.6,Jacksonville Jaguars,2020
TE,Tyler Eifert,65.7,Jacksonville Jaguars,2020
Edge,Josh Allen,68.4,Jacksonville Jaguars,2020
WR,DJ Chark Jr.,75.2,Jacksonville Jaguars,2020
Edge,K'Lavon Chaisson,73.0,Jacksonville Jaguars,2020
WR,Dede Westbrook,63.5,Jacksonville Jaguars,2020
LB,Joe Schobert,59.1,Jacksonville Jaguars,2020
WR,Chris Conley,62.7,Jacksonville Jaguars,2020
LB,Myles Jack,46.1,Jacksonville Jaguars,2020
LT,Cam Robinson,54.8,Jacksonville Jaguars,2020
CB,CJ Henderson,62.6,Jacksonville Jaguars,2020
LG,Andrew Norwell,65.5,Jacksonville Jaguars,2020
CB,Tre Herndon,54.7,Jacksonville Jaguars,2020
C,Brandon Linder,75.3,Jacksonville Jaguars,2020
CB,D.J. Hayden,76.9,Jacksonville Jaguars,2020
RG,A.J. Cann,55.3,Jacksonville Jaguars,2020
S,Ronnie Harrison,60.9,Jacksonville Jaguars,2020
RT,Jawaan Taylor,63.8,Jacksonville Jaguars,2020
S,Jarrod Wilson,72.8,Jacksonville Jaguars,2020
