Position,Name,Rating,Team,season
DI,Johnathan Hankins,46.7,Las Vegas Raiders,2022
WR,Davante Adams,92.7,Las Vegas Raiders,2022
Edge,Maxx Crosby,91.7,Las Vegas Raiders,2022
WR,Hunter Renfrow,79.8,Las Vegas Raiders,2022
Edge,Chandler Jones,66.9,Las Vegas Raiders,2022
WR,Mack Hollins,58.1,Las Vegas Raiders,2022
LB,Denzel Perryman,63.9,Las Vegas Raiders,2022
TE,Darren Waller,69.7,Las Vegas Raiders,2022
LB,Jayon Brown,53.0,Las Vegas Raiders,2022
TE,Foster Moreau,56.4,Las Vegas Raiders,2022
LB,Divine Deablo,60.8,Las Vegas Raiders,2022
LT,Kolton Miller,85.0,Las Vegas Raiders,2022
CB,Rock Ya-Sin,69.9,Las Vegas Raiders,2022
LG,Dylan Parham,78.8,Las Vegas Raiders,2022
CB,Anthony Averett,56.3,Las Vegas Raiders,2022
C,Andre James,64.8,Las Vegas Raiders,2022
CB,Nate Hobbs,79.4,Las Vegas Raiders,2022
RG,Lester Cotton Sr.,65.3,Las Vegas Raiders,2022
S,Tre'von Moehrig,71.0,Las Vegas Raiders,2022
RT,Jermaine Eluemunor,59.8,Las Vegas Raiders,2022
S,Johnathan Abram,56.9,Las Vegas Raiders,2022
QB,Mitch Trubisky,63.5,Pittsburgh Steelers,2022
DI,Cameron Heyward,90.8,Pittsburgh Steelers,2022
RB,Najee Harris,69.6,Pittsburgh Steelers,2022
DI,Tyson Alualu,86.6,Pittsburgh Steelers,2022
WR,Chase Claypool,67.2,Pittsburgh Steelers,2022
DI,Larry Ogunjobi,47.5,Pittsburgh Steelers,2022
WR,Diontae Johnson,73.2,Pittsburgh Steelers,2022
Edge,T.J. Watt,89.6,Pittsburgh Steelers,2022
WR,George Pickens,70.7,Pittsburgh Steelers,2022
Edge,Alex Highsmith,65.1,Pittsburgh Steelers,2022
TE,Pat Freiermuth,72.6,Pittsburgh Steelers,2022
LB,Myles Jack,37.7,Pittsburgh Steelers,2022
TE,Zach Gentry,66.0,Pittsburgh Steelers,2022
LB,Devin Bush,34.4,Pittsburgh Steelers,2022
LT,Dan Moore Jr.,57.5,Pittsburgh Steelers,2022
CB,Ahkello Witherspoon,75.8,Pittsburgh Steelers,2022
LG,Kevin Dotson,64.5,Pittsburgh Steelers,2022
CB,Levi Wallace,62.8,Pittsburgh Steelers,2022
C,Mason Cole,69.7,Pittsburgh Steelers,2022
CB,Cameron Sutton,59.3,Pittsburgh Steelers,2022
RG,James Daniels,71.0,Pittsburgh Steelers,2022
S,Minkah Fitzpatrick,57.2,Pittsburgh Steelers,2022
RT,Chukwuma Okorafor,62.2,Pittsburgh Steelers,2022
S,Terrell Edmunds,58.0,Pittsburgh Steelers,2022
QB,Kyler Murray,82.9,Arizona Cardinals,2022
DI,J.J. Watt,78.6,Arizona Cardinals,2022
RB,James Conner,81.9,Arizona Cardinals,2022
DI,Rashard Lawrence,66.4,Arizona Cardinals,2022
WR,DeAndre Hopkins,79.8,Arizona Cardinals,2022
DI,Zach Allen,56.7,Arizona Cardinals,2022
WR,Marquise Brown,68.6,Arizona Cardinals,2022
Edge,Markus Golden,75.2,Arizona Cardinals,2022
WR,Rondale Moore,70.7,Arizona Cardinals,2022
Edge,Dennis Gardeck,62.1,Arizona Cardinals,2022
TE,Zach Ertz,65.5,Arizona Cardinals,2022
LB,Zaven Collins,66.5,Arizona Cardinals,2022
TE,Maxx Williams,77.9,Arizona Cardinals,2022
LB,Nick Vigil,42.1,Arizona Cardinals,2022
LT,D.J. Humphries,67.5,Arizona Cardinals,2022
LB,Isaiah Simmons,49.7,Arizona Cardinals,2022
LG,Justin Pugh,64.5,Arizona Cardinals,2022
CB,Byron Murphy Jr.,58.5,Arizona Cardinals,2022
C,Rodney Hudson,57.4,Arizona Cardinals,2022
CB,Trayvon Mullen,61.7,Arizona Cardinals,2022
RG,Will Hernandez,55.9,Arizona Cardinals,2022
S,Budda Baker,64.6,Arizona Cardinals,2022
RT,Kelvin Beachum,60.8,Arizona Cardinals,2022
S,Jalen Thompson,68.5,Arizona Cardinals,2022
QB,Baker Mayfield,63.6,Carolina Panthers,2022
DI,Derrick Brown,64.4,Carolina Panthers,2022
RB,Christian McCaffrey,80.7,Carolina Panthers,2022
DI,Bravvion Roy,47.6,Carolina Panthers,2022
WR,DJ Moore,76.9,Carolina Panthers,2022
DI,Matt Ioannidis,65.4,Carolina Panthers,2022
WR,Robbie Anderson,60.6,Carolina Panthers,2022
Edge,Brian Burns,60.8,Carolina Panthers,2022
WR,Rashard Higgins,54.7,Carolina Panthers,2022
Edge,Yetur Gross-Matos,63.8,Carolina Panthers,2022
TE,Ian Thomas,52.1,Carolina Panthers,2022
LB,Shaq Thompson,72.7,Carolina Panthers,2022
TE,Tommy Tremble,55.2,Carolina Panthers,2022
LB,Frankie Luvu,84.8,Carolina Panthers,2022
LT,Ikem Ekwonu,91.6,Carolina Panthers,2022
CB,Donte Jackson,61.3,Carolina Panthers,2022
LG,Brady Christensen,61.6,Carolina Panthers,2022
CB,Jaycee Horn,79.4,Carolina Panthers,2022
C,Bradley Bozeman,73.3,Carolina Panthers,2022
CB,CJ Henderson,50.7,Carolina Panthers,2022
RG,Austin Corbett,69.6,Carolina Panthers,2022
S,Jeremy Chinn,71.4,Carolina Panthers,2022
RT,Taylor Moton,77.5,Carolina Panthers,2022
S,Xavier Woods,66.4,Carolina Panthers,2022
QB,Jared Goff,60.7,Detroit Lions,2022
DI,Michael Brockers,40.6,Detroit Lions,2022
RB,D'Andre Swift,57.8,Detroit Lions,2022
DI,Alim McNeill,60.1,Detroit Lions,2022
RB,Jamaal Williams,69.8,Detroit Lions,2022
DI,Levi Onwuzurike,43.2,Detroit Lions,2022
WR,DJ Chark Jr.,71.3,Detroit Lions,2022
Edge,Aidan Hutchinson,94.5,Detroit Lions,2022
WR,Josh Reynolds,65.9,Detroit Lions,2022
Edge,Charles Harris,68.3,Detroit Lions,2022
WR,Amon-Ra St. Brown,79.9,Detroit Lions,2022
LB,Alex Anzalone,35.4,Detroit Lions,2022
TE,T.J. Hockenson,68.1,Detroit Lions,2022
LB,Malcolm Rodriguez,85.7,Detroit Lions,2022
LT,Taylor Decker,75.5,Detroit Lions,2022
CB,Amani Oruwariye,59.0,Detroit Lions,2022
LG,Jonah Jackson,69.3,Detroit Lions,2022
CB,Jeff Okudah,42.5,Detroit Lions,2022
C,Frank Ragnow,80.3,Detroit Lions,2022
CB,AJ Parker,48.3,Detroit Lions,2022
RG,Halapoulivaati Vaitai,68.4,Detroit Lions,2022
S,Tracy Walker III,65.1,Detroit Lions,2022
RT,Penei Sewell,77.0,Detroit Lions,2022
S,DeShon Elliott,65.6,Detroit Lions,2022
QB,Zach Wilson,59.3,New York Jets,2022
DI,Quinnen Williams,64.4,New York Jets,2022
RB,Michael Carter,71.0,New York Jets,2022
DI,Solomon Thomas,40.4,New York Jets,2022
WR,Corey Davis,68.8,New York Jets,2022
Edge,Carl Lawson,76.3,New York Jets,2022
WR,Elijah Moore,71.2,New York Jets,2022
Edge,John Franklin-Myers,80.3,New York Jets,2022
WR,Braxton Berrios,74.0,New York Jets,2022
Edge,Jacob Martin,67.3,New York Jets,2022
TE,C.J. Uzomah,63.6,New York Jets,2022
LB,C.J. Mosley,42.0,New York Jets,2022
TE,Tyler Conklin,66.7,New York Jets,2022
LB,Quincy Williams,44.2,New York Jets,2022
LT,Duane Brown,71.5,New York Jets,2022
CB,D.J. Reed Jr.,78.6,New York Jets,2022
LG,Laken Tomlinson,73.6,New York Jets,2022
CB,Ahmad Gardner,87.1,New York Jets,2022
C,Connor McGovern,75.9,New York Jets,2022
CB,Michael Carter II,53.7,New York Jets,2022
RG,Alijah Vera-Tucker,66.8,New York Jets,2022
S,Jordan Whitehead,70.7,New York Jets,2022
RT,George Fant,71.1,New York Jets,2022
S,Lamarcus Joyner,67.0,New York Jets,2022
QB,Daniel Jones,71.6,New York Giants,2022
DI,Leonard Williams,71.2,New York Giants,2022
RB,Saquon Barkley,59.1,New York Giants,2022
DI,Dexter Lawrence,68.7,New York Giants,2022
WR,Kenny Golladay,68.3,New York Giants,2022
Edge,Jihad Ward,53.4,New York Giants,2022
WR,Kadarius Toney,72.8,New York Giants,2022
Edge,Kayvon Thibodeaux,83.2,New York Giants,2022
WR,Sterling Shepard,64.6,New York Giants,2022
Edge,Azeez Ojulari,58.3,New York Giants,2022
WR,Wan'Dale Robinson,91.3,New York Giants,2022
LB,Micah McFadden,74.8,New York Giants,2022
TE,Daniel Bellinger,64.1,New York Giants,2022
LB,Tae Crowder,29.1,New York Giants,2022
LT,Andrew Thomas,78.9,New York Giants,2022
CB,Adoree' Jackson,74.9,New York Giants,2022
LG,Josh Ezeudu,77.8,New York Giants,2022
CB,Aaron Robinson,62.2,New York Giants,2022
C,Jon Feliciano,56.9,New York Giants,2022
CB,Darnay Holmes,55.8,New York Giants,2022
RG,Mark Glowinski,70.1,New York Giants,2022
S,Xavier McKinney,75.4,New York Giants,2022
RT,Evan Neal,85.8,New York Giants,2022
S,Julian Love,55.4,New York Giants,2022
QB,Trevor Lawrence,59.6,Jacksonville Jaguars,2022
DI,Roy Robertson-Harris,53.0,Jacksonville Jaguars,2022
RB,James Robinson,67.4,Jacksonville Jaguars,2022
DI,Folorunso Fatukasi,61.5,Jacksonville Jaguars,2022
RB,Travis Etienne Jr.,82.0,Jacksonville Jaguars,2022
Edge,Josh Allen,78.5,Jacksonville Jaguars,2022
WR,Christian Kirk,72.1,Jacksonville Jaguars,2022
Edge,Travon Walker,69.9,Jacksonville Jaguars,2022
WR,Zay Jones,70.6,Jacksonville Jaguars,2022
Edge,Arden Key,68.1,Jacksonville Jaguars,2022
WR,Marvin Jones Jr.,68.3,Jacksonville Jaguars,2022
LB,Foyesade Oluokun,47.0,Jacksonville Jaguars,2022
TE,Evan Engram,53.5,Jacksonville Jaguars,2022
LB,Devin Lloyd,90.3,Jacksonville Jaguars,2022
LT,Cam Robinson,67.4,Jacksonville Jaguars,2022
CB,Shaquill Griffin,72.0,Jacksonville Jaguars,2022
LG,Ben Bartch,62.1,Jacksonville Jaguars,2022
CB,Darious Williams,61.8,Jacksonville Jaguars,2022
C,Luke Fortner,85.0,Jacksonville Jaguars,2022
CB,Tyson Campbell,62.7,Jacksonville Jaguars,2022
RG,Brandon Scherff,73.6,Jacksonville Jaguars,2022
S,Rayshawn Jenkins,56.9,Jacksonville Jaguars,2022
RT,Jawaan Taylor,60.4,Jacksonville Jaguars,2022
S,Andre Cisco,67.9,Jacksonville Jaguars,2022
QB,Geno Smith,73.9,Seattle Seahawks,2022
DI,Poona Ford,73.0,Seattle Seahawks,2022
RB,Rashaad Penny,80.5,Seattle Seahawks,2022
DI,Shelby Harris,61.3,Seattle Seahawks,2022
RB,Ken Walker III,89.3,Seattle Seahawks,2022
DI,Al Woods,75.4,Seattle Seahawks,2022
WR,DK Metcalf,80.9,Seattle Seahawks,2022
Edge,Darrell Taylor,57.6,Seattle Seahawks,2022
WR,Tyler Lockett,81.0,Seattle Seahawks,2022
Edge,Uchenna Nwosu,64.3,Seattle Seahawks,2022
TE,Noah Fant,61.6,Seattle Seahawks,2022
LB,Jordyn Brooks,58.4,Seattle Seahawks,2022
TE,Will Dissly,63.8,Seattle Seahawks,2022
LB,Cody Barton,59.7,Seattle Seahawks,2022
LT,Charles Cross,86.6,Seattle Seahawks,2022
CB,Sidney Jones IV,70.2,Seattle Seahawks,2022
LG,Damien Lewis,57.1,Seattle Seahawks,2022
CB,Artie Burns,79.5,Seattle Seahawks,2022
C,Austin Blythe,70.3,Seattle Seahawks,2022
CB,Justin Coleman,52.4,Seattle Seahawks,2022
RG,Gabe Jackson,63.6,Seattle Seahawks,2022
S,Jamal Adams,60.1,Seattle Seahawks,2022
RT,Abraham Lucas,78.6,Seattle Seahawks,2022
S,Quandre Diggs,71.2,Seattle Seahawks,2022
QB,Marcus Mariota,64.8,Atlanta Falcons,2022
DI,Grady Jarrett,67.6,Atlanta Falcons,2022
RB,Cordarrelle Patterson,82.2,Atlanta Falcons,2022
DI,Anthony Rush,56.4,Atlanta Falcons,2022
RB,Damien Williams,71.4,Atlanta Falcons,2022
DI,Ta'Quon Graham,47.3,Atlanta Falcons,2022
WR,Drake London,91.3,Atlanta Falcons,2022
Edge,Lorenzo Carter,65.3,Atlanta Falcons,2022
WR,Bryan Edwards,62.9,Atlanta Falcons,2022
Edge,Arnold Ebiketie,88.4,Atlanta Falcons,2022
WR,Olamide Zaccheaus,63.4,Atlanta Falcons,2022
LB,Mykal Walker,71.3,Atlanta Falcons,2022
TE,Kyle Pitts,80.3,Atlanta Falcons,2022
LB,Rashaan Evans,44.5,Atlanta Falcons,2022
LT,Jake Matthews,71.3,Atlanta Falcons,2022
CB,A.J. Terrell,82.6,Atlanta Falcons,2022
LG,Elijah Wilkinson,52.5,Atlanta Falcons,2022
CB,Casey Hayward Jr.,76.6,Atlanta Falcons,2022
C,Matt Hennessy,77.1,Atlanta Falcons,2022
CB,Isaiah Oliver,58.8,Atlanta Falcons,2022
RG,Chris Lindstrom,83.7,Atlanta Falcons,2022
S,Richie Grant,58.6,Atlanta Falcons,2022
RT,Kaleb McGary,62.8,Atlanta Falcons,2022
S,Jaylinn Hawkins,58.8,Atlanta Falcons,2022
QB,Davis Mills,58.5,Houston Texans,2022
DI,Roy Lopez,55.7,Houston Texans,2022
RB,Dameon Pierce,92.0,Houston Texans,2022
DI,Maliek Collins,64.0,Houston Texans,2022
WR,Brandin Cooks,77.4,Houston Texans,2022
Edge,Jonathan Greenard,82.9,Houston Texans,2022
WR,Nico Collins,65.6,Houston Texans,2022
Edge,Jerry Hughes,70.7,Houston Texans,2022
WR,Phillip Dorsett,65.6,Houston Texans,2022
Edge,Ogbonnia Okoronkwo,79.5,Houston Texans,2022
TE,Pharaoh Brown,48.0,Houston Texans,2022
LB,Christian Kirksey,50.3,Houston Texans,2022
TE,Brevin Jordan,66.6,Houston Texans,2022
LB,Kamu Grugier-Hill,44.3,Houston Texans,2022
LT,Laremy Tunsil,75.4,Houston Texans,2022
CB,Derek Stingley Jr.,72.1,Houston Texans,2022
LG,Kenyon Green,79.6,Houston Texans,2022
CB,Steven Nelson,63.6,Houston Texans,2022
C,Justin Britt,63.9,Houston Texans,2022
CB,Desmond King II,53.0,Houston Texans,2022
RG,A.J. Cann,69.0,Houston Texans,2022
S,Jalen Pitre,88.6,Houston Texans,2022
RT,Tytus Howard,51.4,Houston Texans,2022
S,Jonathan Owens,73.1,Houston Texans,2022
QB,Justin Fields,64.2,Chicago Bears,2022
DI,Justin Jones,57.9,Chicago Bears,2022
RB,David Montgomery,69.8,Chicago Bears,2022
DI,Angelo Blackson,50.8,Chicago Bears,2022
RB,Khalil Herbert,78.8,Chicago Bears,2022
Edge,Robert Quinn,69.9,Chicago Bears,2022
WR,Darnell Mooney,74.7,Chicago Bears,2022
Edge,Al-Quadin Muhammad,64.6,Chicago Bears,2022
WR,Byron Pringle,65.2,Chicago Bears,2022
Edge,Trevis Gipson,70.4,Chicago Bears,2022
WR,Equanimeous St. Brown,56.2,Chicago Bears,2022
LB,Roquan Smith,47.1,Chicago Bears,2022
TE,Cole Kmet,63.4,Chicago Bears,2022
LB,Nicholas Morrow,63.7,Chicago Bears,2022
LT,Braxton Jones,93.9,Chicago Bears,2022
CB,Jaylon Johnson,64.2,Chicago Bears,2022
LG,Cody Whitehair,66.2,Chicago Bears,2022
CB,Kyler Gordon,87.2,Chicago Bears,2022
C,Sam Mustipher,51.0,Chicago Bears,2022
CB,Tavon Young,60.4,Chicago Bears,2022
RG,Teven Jenkins,47.5,Chicago Bears,2022
S,Eddie Jackson,59.0,Chicago Bears,2022
RT,Larry Borom,61.4,Chicago Bears,2022
S,Jaquan Brisker,82.4,Chicago Bears,2022
