Position,Name,Rating,Team,season
LB,Kyzir White,66.5,Philadelphia Eagles,2022
TE,Dallas Goedert,90.7,Philadelphia Eagles,2022
LB,T.J. Edwards,75.5,Philadelphia Eagles,2022
LT,Jordan Mailata,88.3,Philadelphia Eagles,2022
CB,Darius Slay,81.0,Philadelphia Eagles,2022
LG,Landon Dickerson,69.6,Philadelphia Eagles,2022
CB,James Bradberry,62.8,Philadelphia Eagles,2022
C,Jason Kelce,84.5,Philadelphia Eagles,2022
CB,Avonte Maddox,71.0,Philadelphia Eagles,2022
RG,Isaac Seumalo,62.4,Philadelphia Eagles,2022
S,Marcus Epps,74.6,Philadelphia Eagles,2022
RT,Lane Johnson,83.3,Philadelphia Eagles,2022
S,Chauncey Gardner-Johnson,62.2,Philadelphia Eagles,2022
QB,Aaron Rodgers,89.4,Green Bay Packers,2022
DI,Kenny Clark,75.4,Green Bay Packers,2022
RB,Aaron Jones,82.0,Green Bay Packers,2022
DI,Devonte Wyatt,90.3,Green Bay Packers,2022
RB,AJ Dillon,86.2,Green Bay Packers,2022
DI,Dean Lowry,66.8,Green Bay Packers,2022
WR,Allen Lazard,64.7,Green Bay Packers,2022
Edge,Rashan Gary,89.8,Green Bay Packers,2022
WR,Romeo Doubs,81.7,Green Bay Packers,2022
Edge,Preston Smith,81.5,Green Bay Packers,2022
WR,Randall Cobb,70.1,Green Bay Packers,2022
LB,De'Vondre Campbell,85.0,Green Bay Packers,2022
TE,Robert Tonyan,54.6,Green Bay Packers,2022
LB,Quay Walker,71.7,Green Bay Packers,2022
LT,David Bakhtiari,91.8,Green Bay Packers,2022
CB,Jaire Alexander,90.7,Green Bay Packers,2022
LG,Jon Runyan,64.6,Green Bay Packers,2022
CB,Eric Stokes,65.5,Green Bay Packers,2022
C,Josh Myers,54.9,Green Bay Packers,2022
CB,Rasul Douglas,74.5,Green Bay Packers,2022
RG,Royce Newman,55.7,Green Bay Packers,2022
S,Adrian Amos,74.3,Green Bay Packers,2022
RT,Elgton Jenkins,82.1,Green Bay Packers,2022
S,Darnell Savage,58.4,Green Bay Packers,2022
QB,Joe Burrow,91.8,Cincinnati Bengals,2022
DI,D.J. Reader,79.5,Cincinnati Bengals,2022
RB,Joe Mixon,79.2,Cincinnati Bengals,2022
DI,B.J. Hill,70.9,Cincinnati Bengals,2022
WR,Ja'Marr Chase,85.3,Cincinnati Bengals,2022
Edge,Trey Hendrickson,73.4,Cincinnati Bengals,2022
WR,Tee Higgins,83.4,Cincinnati Bengals,2022
Edge,Sam Hubbard,67.7,Cincinnati Bengals,2022
WR,Tyler Boyd,70.8,Cincinnati Bengals,2022
LB,Logan Wilson,61.5,Cincinnati Bengals,2022
TE,Hayden Hurst,55.3,Cincinnati Bengals,2022
LB,Germaine Pratt,54.0,Cincinnati Bengals,2022
TE,Drew Sample,56.1,Cincinnati Bengals,2022
CB,Chidobe Awuzie,75.5,Cincinnati Bengals,2022
LT,Jonah Williams,74.5,Cincinnati Bengals,2022
CB,Eli Apple,60.5,Cincinnati Bengals,2022
LG,Cordell Volson,89.3,Cincinnati Bengals,2022
CB,Mike Hilton,70.2,Cincinnati Bengals,2022
C,Ted Karras,72.4,Cincinnati Bengals,2022
S,Jessie Bates III,67.8,Cincinnati Bengals,2022
RG,Alex Cappa,71.3,Cincinnati Bengals,2022
S,Vonn Bell,72.1,Cincinnati Bengals,2022
RT,La'el Collins,80.2,Cincinnati Bengals,2022
S,Daxton Hill,76.2,Cincinnati Bengals,2022
QB,Patrick Mahomes,80.4,Kansas City Chiefs,2022
DI,Chris Jones,83.4,Kansas City Chiefs,2022
RB,Clyde Edwards-Helaire,65.6,Kansas City Chiefs,2022
DI,Derrick Nnadi,51.3,Kansas City Chiefs,2022
RB,Jerick McKinnon,65.0,Kansas City Chiefs,2022
Edge,Frank Clark,54.9,Kansas City Chiefs,2022
WR,Marquez Valdes-Scantling,66.1,Kansas City Chiefs,2022
Edge,George Karlaftis,87.2,Kansas City Chiefs,2022
WR,JuJu Smith-Schuster,70.0,Kansas City Chiefs,2022
LB,Nick Bolton,72.5,Kansas City Chiefs,2022
WR,Mecole Hardman,70.2,Kansas City Chiefs,2022
LB,Willie Gay,66.5,Kansas City Chiefs,2022
TE,Travis Kelce,85.0,Kansas City Chiefs,2022
CB,Rashad Fenton,79.1,Kansas City Chiefs,2022
LT,Orlando Brown Jr.,75.4,Kansas City Chiefs,2022
CB,Trent McDuffie,86.8,Kansas City Chiefs,2022
LG,Joe Thuney,81.2,Kansas City Chiefs,2022
CB,L'Jarius Sneed,63.6,Kansas City Chiefs,2022
C,Creed Humphrey,91.8,Kansas City Chiefs,2022
S,Justin Reid,50.8,Kansas City Chiefs,2022
RG,Trey Smith,72.7,Kansas City Chiefs,2022
S,Juan Thornhill,70.1,Kansas City Chiefs,2022
RT,Andrew Wylie,62.3,Kansas City Chiefs,2022
S,Bryan Cook,87.6,Kansas City Chiefs,2022
QB,Lamar Jackson,70.2,Baltimore Ravens,2022
DI,Calais Campbell,80.8,Baltimore Ravens,2022
RB,J.K. Dobbins,72.0,Baltimore Ravens,2022
DI,Michael Pierce,78.5,Baltimore Ravens,2022
