spread,ou_value,fav_ml_result,fav_sp_result,ou_result,fav_ppg,und_ppg,fav_papg,und_papg,fav_ypg,und_ypg,fav_yapg,und_yapg,fav_topg,und_topg,fav_tofpg,und_tofpg,fav_avg_mov,und_avg_mov,fav_win_pct,und_win_pct,fav_last_5_win_pct,und_last_5_win_pct,fav_home_win_pct,und_home_win_pct,fav_away_win_pct,und_away_win_pct,ppg_diff,ypg_diff,topg_diff,avg_mov_diff,win_pct_diff,last_5_win_pct_diff,team_ovr_diff,ypg_sum,ppg_ratio,ypg_ratio,avg_mov_ratio
-6.0,47.0,0,0.0,0,23.0,33.0,16.0,27.0,252.0,491.0,371.0,406.0,0.0,1.0,1.0,2.0,7.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-10.0,-239.0,-1.0,1.0,0.0,0.0,11.899999999999999,743.0,0.7,0.51,1.17
-3.5,50.5,1,0.0,1,38.0,24.0,13.0,27.0,416.0,403.0,248.0,366.0,1.0,1.0,3.0,0.0,25.0,-3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,13.0,0.0,28.0,1.0,1.0,-3.8800000000000097,819.0,1.58,1.03,-8.33
-12.5,51.5,1,1.0,1,31.0,6.0,29.0,32.0,431.0,260.0,451.0,434.0,4.0,0.0,1.0,0.0,2.0,-26.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,171.0,4.0,28.0,1.0,1.0,7.469999999999999,691.0,5.17,1.66,-0.08
-3.0,55.0,0,0.0,0,20.0,29.0,16.0,31.0,424.0,451.0,259.0,431.0,2.0,1.0,1.0,4.0,4.0,-2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-9.0,-27.0,1.0,6.0,1.0,1.0,0.060000000000002274,875.0,0.69,0.94,-2.0
-6.5,54.0,0,0.0,1,28.0,13.0,16.0,38.0,381.0,248.0,336.0,416.0,1.0,3.0,1.0,1.0,12.0,-25.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,133.0,-2.0,37.0,1.0,1.0,-0.29999999999999716,629.0,2.15,1.54,-0.48
-4.0,54.5,0,0.0,1,33.0,27.0,29.0,33.0,397.0,406.0,457.0,491.0,0.0,2.0,2.0,1.0,4.0,-6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,-9.0,-2.0,10.0,1.0,1.0,-0.8400000000000034,803.0,1.22,0.98,-0.67
-11.5,48.0,1,1.0,1,3.0,33.0,38.0,41.0,229.0,430.0,322.0,442.0,3.0,1.0,0.0,2.0,-35.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,-201.0,2.0,-27.0,0.0,0.0,6.38000000000001,659.0,0.09,0.53,4.38
-9.0,43.5,1,1.0,0,22.5,29.0,10.5,26.0,382.0,375.5,190.0,375.0,1.0,1.0,1.5,2.5,12.0,3.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,-6.5,6.5,0.0,9.0,0.5,0.5,10.32,757.5,0.78,1.02,4.0
-7.0,45.5,1,1.0,1,25.5,23.0,11.5,24.5,342.5,333.0,234.0,407.5,1.5,1.0,1.5,1.0,14.0,-1.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.0,2.5,9.5,0.5,15.5,0.0,0.0,-15.93,675.5,1.11,1.03,-9.33
-7.5,44.5,1,1.0,0,30.0,17.0,27.0,25.5,406.0,264.0,349.5,317.0,2.0,1.5,1.0,2.0,3.0,-8.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,13.0,142.0,0.5,11.5,0.0,0.0,19.10000000000001,670.0,1.76,1.54,-0.35
-7.5,50.5,1,0.0,0,31.5,25.0,34.0,38.0,443.5,387.0,448.0,382.5,2.0,1.5,1.5,1.0,-2.5,-13.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,6.5,56.5,0.5,10.5,0.5,0.5,2.1599999999999966,830.5,1.26,1.15,0.19
-7.5,51.5,1,1.0,0,36.0,17.0,23.0,30.0,445.0,292.0,333.5,423.5,1.5,2.5,1.5,0.0,13.0,-13.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,19.0,153.0,-1.0,26.0,1.0,1.0,6.139999999999986,737.0,2.12,1.52,-1.0
-7.0,54.5,0,0.0,0,34.0,18.5,32.5,18.0,401.0,416.0,469.0,339.0,1.0,2.0,2.0,1.0,1.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,15.5,-15.0,-1.0,1.0,0.0,0.0,-3.490000000000009,817.0,1.84,0.96,3.0
-3.0,42.5,0,0.0,0,20.5,22.5,11.5,14.5,326.5,225.0,297.5,306.0,1.0,1.0,2.5,2.0,9.0,8.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,-2.0,101.5,0.0,1.0,0.0,0.0,-5.110000000000014,551.5,0.91,1.45,1.12
-3.0,47.5,0,0.0,0,21.0,15.5,28.5,40.0,352.5,304.0,413.5,387.5,0.5,1.5,1.0,0.5,-7.5,-24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,48.5,-1.0,17.0,0.0,0.0,-1.1199999999999903,656.5,1.35,1.16,0.31
-3.0,43.0,0,0.0,0,20.0,22.0,21.0,22.0,291.5,307.0,398.0,304.5,0.5,2.0,0.5,1.0,-1.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,-2.0,-15.5,-1.5,-1.0,0.0,0.0,7.410000000000011,598.5,0.91,0.95,-inf
-5.5,47.5,1,1.0,0,23.0,20.0,34.0,27.5,390.0,345.0,406.5,376.0,2.0,1.5,0.5,1.5,-11.0,-7.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,3.0,45.0,0.5,-3.5,0.5,0.5,-0.37999999999999545,735.0,1.15,1.13,1.47
-10.0,41.5,1,1.0,0,25.0,10.0,13.0,22.0,409.0,294.0,251.5,320.5,0.5,2.5,1.5,0.5,12.0,-12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,115.0,-2.0,24.0,1.0,1.0,1.6500000000000057,703.0,2.5,1.39,-1.0
-4.0,44.0,1,0.0,1,29.5,8.5,22.0,25.5,458.0,237.5,368.5,353.5,0.5,2.0,1.5,2.0,7.5,-17.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,21.0,220.5,-1.5,24.5,0.5,0.5,-6.569999999999986,695.5,3.47,1.93,-0.44
-1.5,55.5,0,0.0,1,39.5,30.5,27.0,19.0,386.0,378.5,399.5,338.0,2.5,1.0,2.0,2.0,12.5,11.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,7.5,1.5,1.0,0.0,0.0,-0.27000000000001023,764.5,1.3,1.02,1.09
-2.0,55.0,0,0.0,0,29.0,28.5,24.5,30.5,389.0,411.0,434.0,420.0,0.5,0.5,1.0,1.0,4.5,-2.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,-22.0,0.0,6.5,0.5,0.5,-0.8700000000000045,800.0,1.02,0.95,-2.25
-3.0,50.5,0,0.0,1,29.0,19.0,22.0,27.5,374.0,276.0,379.0,333.0,1.0,1.5,0.5,1.0,7.0,-8.5,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.0,10.0,98.0,-0.5,15.5,0.5,0.5,3.569999999999993,650.0,1.53,1.36,-0.82
-3.5,51.5,1,1.0,1,24.5,21.5,24.0,11.5,435.0,381.0,419.5,283.0,1.0,0.0,3.0,0.0,0.5,10.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,3.0,54.0,1.0,-9.5,0.0,0.0,4.859999999999999,816.0,1.14,1.14,0.05
-7.5,46.5,1,0.0,0,22.67,17.67,18.0,30.33,294.0,315.0,317.0,418.0,1.67,3.0,1.33,0.33,4.67,-12.67,0.67,0.0,0.67,0.0,1.0,0.0,0.5,0.0,5.0,-21.0,-1.33,17.34,0.67,0.67,-1.3000000000000114,609.0,1.28,0.93,-0.37
-2.0,48.0,1,1.0,1,22.33,16.0,30.67,31.33,318.67,301.33,432.0,373.67,1.67,1.33,0.67,0.67,-8.33,-15.33,0.33,0.33,0.33,0.33,0.5,0.0,0.0,0.5,6.329999999999998,17.340000000000032,0.33999999999999986,7.0,0.0,0.0,13.480000000000004,620.0,1.4,1.06,0.54
-17.5,47.0,1,1.0,0,31.33,22.33,14.67,25.33,388.67,314.67,252.67,385.67,1.0,0.67,2.0,1.67,16.67,-3.0,0.67,0.33,0.67,0.33,0.5,0.5,1.0,0.0,9.0,74.0,0.32999999999999996,19.67,0.34,0.34,6.579999999999998,703.34,1.4,1.24,-5.56
-3.0,41.5,1,1.0,0,13.33,22.33,25.67,31.67,191.67,353.0,350.67,384.0,1.0,1.0,1.33,1.0,-12.33,-9.33,0.33,0.0,0.33,0.0,1.0,0.0,0.0,0.0,-8.999999999999998,-161.33,0.0,-3.0,0.33,0.33,-4.890000000000001,544.67,0.6,0.54,1.32
-4.0,51.5,1,1.0,1,30.0,23.0,23.0,10.0,416.67,390.33,402.0,191.0,1.0,0.67,2.67,1.0,7.0,13.0,0.67,1.0,0.67,1.0,1.0,1.0,0.5,1.0,7.0,26.340000000000032,0.32999999999999996,-6.0,-0.32999999999999996,-0.32999999999999996,6.219999999999999,807.0,1.3,1.07,0.54
-2.5,42.5,0,0.0,1,15.0,18.67,27.33,26.67,268.33,318.33,401.33,373.33,1.33,1.0,1.67,2.0,-12.33,-8.0,0.33,0.0,0.33,0.0,0.0,0.0,0.5,0.0,-3.6700000000000017,-50.0,0.33000000000000007,-4.33,0.33,0.33,-9.049999999999997,586.66,0.8,0.84,1.54
-1.0,51.5,1,1.0,0,28.67,29.0,20.0,26.0,410.0,425.0,248.67,409.67,1.33,0.33,0.67,0.67,8.67,3.0,0.67,0.33,0.67,0.33,1.0,1.0,0.0,0.0,-0.3299999999999983,-15.0,1.0,5.67,0.34,0.34,7.230000000000004,835.0,0.99,0.96,2.89
-7.0,41.5,0,0.0,1,24.33,18.67,14.0,24.67,234.0,350.33,304.0,374.33,0.67,0.67,2.33,1.0,10.33,-6.0,0.67,0.0,0.67,0.0,1.0,0.0,0.5,0.0,5.659999999999997,-116.32999999999998,0.0,16.33,0.67,0.67,12.620000000000005,584.3299999999999,1.3,0.67,-1.72
-6.0,44.0,0,0.0,1,23.67,6.67,28.0,23.33,382.67,250.0,359.33,328.0,2.33,2.33,0.33,0.67,-4.33,-16.67,0.67,0.0,0.67,0.0,0.5,0.0,1.0,0.0,17.0,132.67000000000002,0.0,12.340000000000002,0.67,0.67,2.739999999999995,632.6700000000001,3.55,1.53,0.26
-7.0,54.5,1,1.0,1,30.67,21.33,31.67,21.33,413.0,376.33,430.0,315.33,2.0,0.67,1.33,0.33,-1.0,0.0,0.33,0.33,0.33,0.33,0.5,0.0,0.0,0.5,9.340000000000003,36.670000000000016,1.33,-1.0,0.0,0.0,1.4299999999999926,789.3299999999999,1.44,1.1,-inf
-4.0,54.5,0,0.0,1,31.67,34.33,20.67,21.67,388.0,432.33,374.0,342.67,0.67,1.33,1.33,2.33,11.0,12.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.6599999999999966,-44.329999999999984,-0.66,-1.67,0.0,0.0,1.8800000000000097,820.3299999999999,0.92,0.9,0.87
-2.5,52.0,0,0.0,0,28.67,25.0,24.67,26.33,348.67,389.0,370.33,440.33,1.33,0.33,0.33,0.67,4.0,-1.33,0.67,0.33,0.67,0.33,0.0,0.0,1.0,0.5,3.6700000000000017,-40.329999999999984,1.0,5.33,0.34,0.34,3.8400000000000034,737.6700000000001,1.15,0.9,-3.01
-1.0,44.0,1,1.0,0,27.33,25.33,28.33,8.67,424.67,387.0,393.67,221.67,1.67,0.67,1.0,1.67,-1.0,16.67,0.67,1.0,0.67,1.0,1.0,1.0,0.5,1.0,2.0,37.670000000000016,0.9999999999999999,-17.67,-0.32999999999999996,-0.32999999999999996,-3.160000000000011,811.6700000000001,1.08,1.1,-0.06
-6.0,44.5,1,1.0,0,22.67,16.67,27.67,22.0,301.67,308.33,321.33,354.67,1.0,1.0,1.33,0.67,-5.0,-5.33,0.67,0.33,0.67,0.33,1.0,0.0,0.5,1.0,6.0,-6.659999999999968,0.0,0.33000000000000007,0.34,0.34,3.3100000000000023,610.0,1.36,0.98,0.94
-7.0,49.5,1,0.0,0,34.33,18.0,29.33,17.0,406.0,317.67,402.0,282.33,1.67,1.67,1.33,1.67,5.0,1.0,0.67,0.33,0.67,0.33,1.0,0.0,0.0,1.0,16.33,88.32999999999998,0.0,4.0,0.34,0.34,1.0799999999999983,723.6700000000001,1.91,1.28,5.0
-3.0,52.0,1,1.0,0,22.33,30.0,20.0,24.0,394.67,471.0,371.67,355.67,1.33,0.67,2.0,1.0,2.33,6.0,0.67,1.0,0.67,1.0,0.0,1.0,1.0,1.0,-7.670000000000002,-76.32999999999998,0.66,-3.67,-0.32999999999999996,-0.32999999999999996,13.639999999999993,865.6700000000001,0.74,0.84,0.39
-2.5,54.5,1,1.0,0,28.75,25.75,24.75,25.0,391.25,350.25,396.75,444.5,1.0,0.25,1.0,1.0,-1.33,-3.0,0.75,0.5,0.75,0.5,0.67,0.0,1.0,0.67,3.0,41.0,0.75,1.67,0.25,0.25,-1.1299999999999955,741.5,1.12,1.12,0.44
-2.5,45.0,1,1.0,1,19.5,11.75,32.0,23.5,319.5,276.25,383.25,353.5,1.0,2.0,0.5,0.5,-8.0,-14.0,0.25,0.25,0.25,0.25,0.0,0.5,0.5,0.0,7.75,43.25,-1.0,6.0,0.0,0.0,-6.430000000000007,595.75,1.66,1.16,0.57
-3.0,46.0,0,0.0,0,24.25,23.5,16.5,26.5,387.5,397.5,251.5,354.25,1.0,0.5,0.75,0.5,8.67,-12.67,0.75,0.25,0.75,0.25,1.0,0.0,0.5,0.5,0.75,-10.0,0.5,21.34,0.5,0.5,-1.3599999999999994,785.0,1.03,0.97,-0.68
-3.0,51.0,1,0.0,0,23.75,23.0,25.0,18.75,318.0,325.5,311.5,323.0,1.0,1.25,1.5,1.0,10.0,4.67,0.75,0.75,0.75,0.75,1.0,1.0,0.5,0.5,0.75,-7.5,-0.25,5.33,0.0,0.0,10.720000000000013,643.5,1.03,0.98,2.14
-8.0,39.0,1,0.0,1,17.75,16.75,17.5,29.0,311.75,263.25,307.0,401.75,1.75,1.75,1.25,1.5,0.67,-21.67,0.25,0.25,0.25,0.25,0.0,0.5,1.0,0.0,1.0,48.5,0.0,22.340000000000003,0.0,0.0,15.419999999999995,575.0,1.06,1.18,-0.03
-4.5,48.5,1,1.0,1,23.75,18.5,27.75,28.75,394.5,321.5,358.25,418.5,1.75,2.25,0.5,0.25,3.0,-8.33,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,5.25,73.0,-0.5,11.33,0.5,0.5,9.449999999999989,716.0,1.28,1.23,-0.36
-10.0,49.5,1,0.0,0,23.5,20.25,23.0,29.75,382.5,352.5,389.0,381.25,0.5,1.25,0.5,1.0,1.67,-10.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,3.25,30.0,-0.75,11.67,0.25,0.25,6.980000000000004,735.0,1.16,1.09,-0.17
-1.5,39.5,0,0.0,1,20.75,16.75,12.25,23.25,353.75,301.75,267.75,357.75,0.75,1.25,1.25,0.75,6.67,-11.0,0.75,0.25,0.75,0.25,0.5,0.0,1.0,0.5,4.0,52.0,-0.5,17.67,0.5,0.5,2.25,655.5,1.24,1.17,-0.61
-10.0,48.0,1,1.0,1,30.5,15.5,26.25,27.25,399.75,252.0,375.0,388.25,1.25,1.5,1.5,1.5,5.0,-16.0,0.75,0.25,0.75,0.25,1.0,0.0,0.5,0.5,15.0,147.75,-0.25,21.0,0.5,0.5,6.969999999999999,651.75,1.97,1.59,-0.31
-2.5,43.5,1,1.0,1,23.5,25.25,17.25,30.5,276.75,342.0,349.25,417.5,0.75,1.25,2.0,0.5,-3.33,-5.67,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.75,-65.25,-0.5,2.34,0.0,0.0,-1.9799999999999898,618.75,0.93,0.81,0.59
-5.5,45.5,0,0.0,0,26.0,16.0,25.0,22.75,406.5,237.0,361.75,350.75,0.75,1.0,0.75,1.5,-0.67,-2.33,0.75,0.5,0.75,0.5,1.0,1.0,0.5,0.0,10.0,169.5,-0.25,1.6600000000000001,0.25,0.25,-3.9399999999999906,643.5,1.62,1.72,0.29
-2.5,46.5,1,1.0,1,23.75,25.0,18.5,16.75,391.0,389.25,332.0,250.25,1.0,1.0,1.75,0.75,5.67,12.33,0.75,0.75,0.75,0.75,0.5,1.0,1.0,0.5,-1.25,1.75,0.0,-6.66,0.0,0.0,-9.400000000000006,780.25,0.95,1.0,0.46
-5.0,48.5,1,1.0,0,35.0,26.75,21.25,25.5,440.5,375.75,357.25,336.25,1.0,1.5,2.25,0.25,10.0,-1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,8.25,64.75,-0.5,11.0,0.5,0.5,-6.8500000000000085,816.25,1.31,1.17,-10.0
-7.0,52.5,1,1.0,1,31.5,20.75,24.25,23.75,420.75,384.0,396.25,382.0,0.75,0.75,2.5,1.0,10.33,0.67,0.75,0.25,0.75,0.25,1.0,0.0,0.5,0.5,10.75,36.75,0.0,9.66,0.5,0.5,8.629999999999995,804.75,1.52,1.1,15.42
-2.5,56.5,0,0.0,1,33.5,33.5,31.25,11.0,427.5,404.0,437.75,216.75,1.75,1.0,1.0,2.75,1.67,32.33,0.5,0.75,0.5,0.75,0.5,0.67,0.5,1.0,0.0,23.5,0.75,-30.659999999999997,-0.25,-0.25,6.529999999999994,831.5,1.0,1.06,0.05
-7.0,46.0,1,0.0,1,26.25,20.75,23.0,24.25,420.0,326.0,358.75,330.75,1.25,1.0,1.0,2.0,6.33,-0.67,0.75,0.25,0.75,0.25,1.0,0.0,0.67,0.5,5.5,94.0,0.25,7.0,0.5,0.5,-4.6299999999999955,746.0,1.27,1.29,-9.45
-7.0,52.5,1,0.0,0,33.4,23.0,24.4,24.8,431.4,372.6,360.2,336.8,1.0,0.8,1.6,1.0,6.67,-9.67,0.8,0.4,0.8,0.4,1.0,0.0,0.5,0.67,10.399999999999999,58.799999999999955,0.19999999999999996,16.34,0.4,0.4,4.819999999999993,804.0,1.45,1.16,-0.69
-3.0,47.0,0,0.0,0,15.8,18.6,30.8,30.4,261.8,348.0,422.2,408.4,1.6,2.2,1.2,0.2,-13.67,-11.0,0.2,0.0,0.2,0.0,0.0,0.0,0.33,0.0,-2.8000000000000007,-86.19999999999999,-0.6000000000000001,-2.67,0.2,0.2,0.7799999999999869,609.8,0.85,0.75,1.24
-2.5,51.5,1,1.0,0,27.2,28.4,23.4,23.2,440.6,411.4,389.6,371.8,1.2,1.0,1.0,1.4,8.0,8.33,0.8,0.8,0.8,0.8,1.0,0.67,0.67,1.0,-1.1999999999999993,29.200000000000045,0.19999999999999996,-0.33000000000000007,0.0,0.0,-2.6500000000000057,852.0,0.96,1.07,0.96
-2.5,45.5,1,1.0,1,22.6,23.0,21.8,17.4,382.8,363.4,368.8,255.8,0.8,1.4,0.8,1.0,2.67,1.33,0.4,0.6,0.4,0.6,0.67,0.67,0.0,0.5,-0.3999999999999986,19.400000000000034,-0.5999999999999999,1.3399999999999999,-0.19999999999999996,-0.19999999999999996,8.450000000000003,746.2,0.98,1.05,2.01
-6.0,44.0,1,1.0,0,24.0,16.8,24.4,20.0,347.6,240.0,322.6,332.4,1.0,0.8,1.6,1.4,5.0,0.33,0.8,0.6,0.8,0.6,1.0,1.0,0.67,0.33,7.199999999999999,107.60000000000002,0.19999999999999996,4.67,0.20000000000000007,0.20000000000000007,11.27000000000001,587.6,1.43,1.45,15.15
-3.5,47.0,1,1.0,0,22.8,19.6,20.0,27.6,333.8,339.6,351.6,381.8,1.4,1.4,1.0,1.2,4.67,-4.67,0.6,0.0,0.6,0.0,0.67,0.0,0.5,0.0,3.1999999999999993,-5.800000000000011,0.0,9.34,0.6,0.6,-4.340000000000003,673.4000000000001,1.16,0.98,-1.0
-10.0,43.5,1,1.0,0,21.6,17.8,25.6,28.2,363.4,282.6,369.2,391.8,1.0,1.6,1.8,1.6,-1.67,-19.33,0.2,0.2,0.2,0.2,0.0,0.33,0.33,0.0,3.8000000000000007,80.79999999999995,-0.6000000000000001,17.659999999999997,0.0,0.0,18.57999999999999,646.0,1.21,1.29,0.09
-9.0,48.5,1,1.0,1,28.2,20.6,23.2,27.8,408.2,380.6,388.2,408.6,1.0,1.0,1.2,1.2,0.67,-7.0,0.8,0.2,0.8,0.2,0.67,0.0,1.0,0.33,7.599999999999998,27.599999999999966,0.0,7.67,0.6000000000000001,0.6000000000000001,8.86,788.8,1.37,1.07,-0.1
-7.0,54.0,1,1.0,0,30.8,24.6,32.6,31.0,420.4,348.2,437.4,407.8,2.2,1.4,0.8,0.8,-4.0,-9.67,0.4,0.4,0.4,0.4,0.33,0.33,0.5,0.5,6.199999999999999,72.19999999999999,0.8000000000000003,5.67,0.0,0.0,-9.400000000000006,768.5999999999999,1.25,1.21,0.41
-3.5,48.5,0,0.0,1,28.4,31.4,22.8,19.0,417.6,413.2,298.8,353.4,0.8,1.0,0.8,2.0,7.33,12.0,0.6,1.0,0.6,1.0,1.0,1.0,0.33,1.0,-3.0,4.400000000000034,-0.19999999999999996,-4.67,-0.4,-0.4,11.110000000000014,830.8,0.9,1.01,0.61
-4.0,43.5,0,0.0,1,20.4,22.6,15.2,24.0,357.8,377.0,292.4,339.8,0.8,0.8,1.2,0.6,0.67,-7.33,0.6,0.6,0.6,0.6,0.5,0.67,0.67,0.5,-2.200000000000003,-19.19999999999999,0.0,8.0,0.0,0.0,14.149999999999999,734.8,0.9,0.95,-0.09
-3.5,50.5,1,1.0,1,34.0,19.2,23.4,18.4,439.6,319.8,390.4,317.6,1.0,1.8,2.4,1.2,17.33,-4.67,0.8,0.4,0.8,0.4,1.0,0.0,0.5,1.0,14.8,119.80000000000001,-0.8,22.0,0.4,0.4,1.1200000000000045,759.4000000000001,1.77,1.37,-3.71
-5.0,43.0,1,0.0,0,18.8,24.0,22.4,25.2,319.6,351.0,361.0,450.8,1.2,0.6,0.8,1.0,-5.33,-5.0,0.4,0.4,0.4,0.4,0.33,0.0,0.5,0.67,-5.199999999999999,-31.399999999999977,0.6,-0.33000000000000007,0.0,0.0,-3.039999999999992,670.6,0.78,0.91,1.07
-6.0,53.5,0,0.0,1,34.4,26.4,12.8,26.0,410.4,389.2,251.8,377.4,0.8,1.4,3.0,0.8,26.67,8.0,0.8,0.6,0.8,0.6,0.67,0.5,1.0,0.67,8.0,21.19999999999999,-0.5999999999999999,18.67,0.20000000000000007,0.20000000000000007,-11.619999999999997,799.5999999999999,1.3,1.05,3.33
-1.5,41.5,1,1.0,0,26.0,21.0,25.17,18.33,396.33,368.33,307.67,314.67,1.17,1.33,0.67,1.0,-7.0,-11.33,0.5,0.5,0.6,0.4,0.67,0.33,0.33,0.67,5.0,28.0,-0.16000000000000014,4.33,0.0,0.19999999999999996,8.89,764.66,1.24,1.08,0.62
-6.5,45.5,0,0.0,1,28.33,24.67,20.5,18.5,421.67,344.5,359.33,331.0,1.33,1.33,1.0,1.0,16.67,7.67,0.83,0.67,1.0,0.6,1.0,0.67,0.67,0.67,3.6599999999999966,77.17000000000002,0.0,9.000000000000002,0.15999999999999992,0.4,6.5,766.1700000000001,1.15,1.22,2.17
-8.0,48.0,1,1.0,0,24.0,22.67,22.67,31.0,343.5,336.17,315.0,423.0,0.83,1.5,1.5,1.17,7.67,-8.33,0.83,0.33,1.0,0.4,1.0,0.25,0.75,0.5,1.3299999999999983,7.329999999999984,-0.67,16.0,0.49999999999999994,0.6,-4.339999999999989,679.6700000000001,1.06,1.02,-0.92
-2.0,47.5,1,0.0,1,21.0,16.5,29.6,29.5,345.6,290.0,352.6,417.83,1.2,1.5,0.6,1.17,2.0,-13.67,0.4,0.17,0.4,0.0,0.0,0.0,0.67,0.25,4.5,55.60000000000002,-0.30000000000000004,15.67,0.23,0.4,-0.5,635.6,1.27,1.19,-0.15
-7.0,42.5,1,1.0,1,20.83,13.4,21.17,24.2,322.33,267.0,359.17,372.8,1.83,1.8,1.33,0.8,-1.67,-10.0,0.33,0.2,0.4,0.2,0.0,0.33,1.0,0.0,7.429999999999998,55.329999999999984,0.030000000000000027,8.33,0.13,0.2,-0.04000000000000625,589.3299999999999,1.55,1.21,0.17
-3.0,42.5,0,0.0,0,23.83,19.0,20.17,29.5,353.83,360.67,308.33,401.33,1.67,1.5,1.0,1.33,-5.67,-15.0,0.5,0.17,0.4,0.2,0.5,0.0,0.5,0.33,4.829999999999998,-6.840000000000032,0.16999999999999993,9.33,0.32999999999999996,0.2,2.4099999999999966,714.5,1.25,0.98,0.38
-4.0,57.5,0,0.0,0,30.83,27.67,29.33,26.83,433.5,384.67,410.5,384.0,2.33,1.33,1.0,0.83,4.0,6.0,0.5,0.67,0.4,0.8,0.33,0.67,0.67,0.67,3.1599999999999966,48.829999999999984,1.0,-2.0,-0.17000000000000004,-0.4,-5.090000000000003,818.1700000000001,1.11,1.13,0.67
-3.0,48.5,1,1.0,1,24.5,22.83,24.0,25.33,385.17,346.0,353.33,347.17,0.67,0.83,1.17,1.0,-5.0,-5.0,0.67,0.33,0.6,0.2,0.67,0.0,0.67,0.67,1.6700000000000017,39.170000000000016,-0.15999999999999992,0.0,0.34,0.39999999999999997,-8.719999999999992,731.1700000000001,1.07,1.11,1.0
-16.5,50.5,1,0.0,0,29.83,18.17,21.17,28.67,401.0,321.0,367.0,384.5,1.17,1.33,1.67,1.17,6.33,-11.67,0.83,0.0,0.8,0.0,0.67,0.0,1.0,0.0,11.659999999999997,80.0,-0.16000000000000014,18.0,0.83,0.8,4.980000000000004,722.0,1.64,1.25,-0.54
-18.0,47.5,1,1.0,0,32.33,15.33,18.17,28.67,403.0,294.33,342.83,391.17,0.83,1.83,2.17,1.33,15.67,-23.67,1.0,0.17,1.0,0.0,1.0,0.33,1.0,0.0,17.0,108.67000000000002,-1.0,39.34,0.83,1.0,14.889999999999993,697.3299999999999,2.11,1.37,-0.66
-11.5,47.0,1,1.0,0,32.5,16.33,24.0,20.67,426.0,246.17,335.67,330.83,1.0,0.83,1.5,1.17,12.0,3.67,0.83,0.5,0.8,0.6,1.0,0.67,0.67,0.33,16.17,179.83,0.17000000000000004,8.33,0.32999999999999996,0.20000000000000007,9.599999999999994,672.17,1.99,1.73,3.27
-4.0,42.5,0,0.0,1,23.4,23.17,23.8,21.83,368.2,367.5,329.8,366.5,1.4,0.83,0.4,2.0,-5.33,10.67,0.4,0.33,0.4,0.4,0.0,0.33,0.67,0.33,0.22999999999999687,0.6999999999999886,0.57,-16.0,0.07,0.0,3.160000000000011,735.7,1.01,1.0,-0.5
-4.5,42.5,1,0.0,0,25.4,23.33,18.2,24.83,295.2,344.0,354.0,433.17,1.0,0.67,2.0,1.0,6.67,-1.67,0.6,0.33,0.6,0.2,0.5,0.0,0.67,0.5,2.0700000000000003,-48.80000000000001,0.32999999999999996,8.34,0.26999999999999996,0.39999999999999997,2.6300000000000097,639.2,1.09,0.86,-3.99
-6.5,50.5,0,0.0,0,32.14,24.0,16.29,20.86,402.14,337.86,316.71,331.43,0.86,0.86,2.0,1.57,18.67,9.0,1.0,0.86,1.0,1.0,1.0,1.0,1.0,0.75,8.14,64.27999999999997,0.0,9.670000000000002,0.14,0.0,-3.2800000000000153,740.0,1.34,1.19,2.07
