spread,ou_value,fav_ml_result,fav_sp_result,ou_result,fav_ppg,und_ppg,fav_papg,und_papg,fav_ypg,und_ypg,fav_yapg,und_yapg,fav_topg,und_topg,fav_tofpg,und_tofpg,fav_avg_mov,und_avg_mov,fav_win_pct,und_win_pct,fav_last_5_win_pct,und_last_5_win_pct,fav_home_win_pct,und_home_win_pct,fav_away_win_pct,und_away_win_pct,ppg_diff,ypg_diff,topg_diff,avg_mov_diff,win_pct_diff,last_5_win_pct_diff,team_ovr_diff,ypg_sum,ppg_ratio,ypg_ratio,avg_mov_ratio
-3.0,53.0,1,0.0,1,17.0,25.0,20.0,38.0,380.0,506.0,422.0,383.0,0.0,2.0,1.0,0.0,-3.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-126.0,-2.0,10.0,0.0,0.0,8.700000000000003,886.0,0.68,0.75,0.23
-7.0,51.0,1,1.0,1,43.0,23.0,34.0,27.0,522.0,426.0,382.0,363.0,0.0,1.0,1.0,0.0,9.0,-4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,96.0,-1.0,13.0,1.0,1.0,-3.1700000000000017,948.0,1.87,1.23,-2.25
-3.5,49.0,1,1.0,0,20.0,34.0,27.0,43.0,445.0,382.0,241.0,522.0,2.0,1.0,0.0,0.0,-7.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,63.0,1.0,2.0,0.0,0.0,1.1199999999999903,827.0,0.59,1.16,0.78
-5.5,42.5,1,0.0,1,27.0,11.0,17.0,21.0,404.0,269.0,254.0,357.0,2.0,3.0,2.0,1.0,10.0,-10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,135.0,-1.0,20.0,1.0,1.0,-6.459999999999994,673.0,2.45,1.5,-1.0
-7.0,41.5,1,1.0,1,20.0,17.0,24.0,27.0,366.0,254.0,404.0,404.0,0.0,2.0,1.0,2.0,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,112.0,-2.0,6.0,0.0,0.0,12.450000000000017,620.0,1.18,1.44,0.4
-2.0,46.0,0,0.0,1,17.0,20.0,27.0,17.0,265.0,422.0,239.0,380.0,3.0,1.0,0.0,0.0,-10.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.0,-157.0,2.0,-13.0,-1.0,-1.0,4.7900000000000205,687.0,0.85,0.63,-3.33
-6.0,41.0,1,0.0,1,26.0,14.0,16.0,16.0,349.0,323.0,291.0,377.0,1.0,1.0,2.0,0.0,10.0,-2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,26.0,0.0,12.0,1.0,1.0,0.23999999999999488,672.0,1.86,1.08,-5.0
-7.5,47.0,1,1.0,1,23.0,30.0,34.0,34.0,310.0,388.0,271.0,372.0,3.0,0.0,0.0,0.0,-11.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-78.0,3.0,-7.0,0.0,0.0,6.920000000000002,698.0,0.77,0.8,2.75
-7.0,44.5,1,0.0,1,16.0,27.0,14.0,20.0,377.0,241.0,323.0,445.0,0.0,0.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-11.0,136.0,0.0,-5.0,0.0,0.0,9.799999999999997,618.0,0.59,1.56,0.29
-7.5,46.5,1,1.0,0,24.0,27.0,20.0,17.0,404.0,239.0,366.0,265.0,1.0,0.0,0.0,3.0,4.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-3.0,165.0,1.0,-6.0,0.0,0.0,4.77000000000001,643.0,0.89,1.69,0.4
-7.5,49.5,1,1.0,0,38.0,20.0,6.0,34.0,381.0,360.0,306.0,369.0,1.0,1.0,3.0,0.0,32.0,-14.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,21.0,0.0,46.0,1.0,1.0,13.370000000000005,741.0,1.9,1.06,-2.29
-8.5,47.0,1,0.0,0,34.0,16.0,20.0,13.0,369.0,362.0,360.0,295.0,0.0,0.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,18.0,7.0,0.0,11.0,0.0,0.0,3.3200000000000074,731.0,2.12,1.02,4.67
-4.0,45.0,1,1.0,1,38.0,21.0,25.0,11.0,383.0,357.0,506.0,269.0,0.0,1.0,2.0,3.0,13.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,17.0,26.0,-1.0,3.0,0.0,0.0,0.20000000000000284,740.0,1.81,1.07,1.3
-4.0,47.5,0,0.0,1,34.0,34.0,23.0,30.0,271.0,372.0,310.0,388.0,0.0,0.0,3.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-101.0,0.0,7.0,0.0,0.0,13.730000000000004,643.0,1.0,0.73,2.75
-2.5,49.5,0,0.0,0,28.5,19.5,26.5,26.0,360.5,339.5,399.5,440.0,1.0,1.5,1.0,1.0,2.0,-6.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,9.0,21.0,-0.5,8.5,0.5,0.5,-6.219999999999999,700.0,1.46,1.06,-0.31
-2.5,46.0,0,0.0,1,32.0,22.0,39.0,18.0,443.0,333.5,476.5,360.5,1.0,1.0,1.5,1.5,-7.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,109.5,0.0,-11.0,-1.0,-1.0,8.719999999999999,776.5,1.45,1.33,-1.75
-1.5,46.5,1,1.0,1,29.0,28.5,22.5,18.0,463.5,435.5,332.0,371.5,1.5,1.0,1.0,1.5,6.5,10.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,28.0,0.5,-4.0,0.0,0.0,-6.889999999999986,899.0,1.02,1.06,0.62
-7.5,45.0,1,1.0,1,20.5,21.0,34.0,23.5,370.0,277.5,367.0,351.5,2.0,1.0,1.0,2.0,-13.5,-2.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,-0.5,92.5,1.0,-11.0,0.0,0.0,13.010000000000005,647.5,0.98,1.33,5.4
-3.0,49.5,1,0.0,1,24.5,22.5,22.0,35.5,365.5,278.5,401.5,438.0,0.0,2.0,1.5,0.5,2.5,-13.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,87.0,-2.0,15.5,1.0,1.0,-6.75,644.0,1.09,1.31,-0.19
-7.0,47.0,1,1.0,1,25.5,34.0,23.0,27.0,410.5,374.5,349.0,406.0,1.0,0.5,2.0,0.5,2.5,7.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,-8.5,36.0,0.5,-4.5,-0.5,-0.5,2.569999999999993,785.0,0.75,1.1,0.36
-3.0,44.0,1,1.0,1,25.5,14.5,18.5,21.5,362.5,293.0,340.5,326.5,0.5,2.0,0.5,1.5,7.0,-7.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,11.0,69.5,-1.5,14.0,0.5,0.5,17.67,655.5,1.76,1.24,-1.0
-5.5,46.5,0,0.0,0,18.0,21.5,32.0,25.5,314.0,324.0,344.0,398.0,3.0,1.5,0.5,0.5,-14.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-10.0,1.5,-10.0,0.0,0.0,3.670000000000016,638.0,0.84,0.97,3.5
-3.5,46.5,1,1.0,1,26.0,18.0,18.5,33.5,379.5,332.0,305.0,388.0,1.5,1.5,2.0,0.0,7.5,-15.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,47.5,0.0,23.0,1.0,1.0,9.77000000000001,711.5,1.44,1.14,-0.48
