Team,C,CB,DI,Edge,LB,LG,LT,QB,RB,RG,RT,S,TE,WR,Season
Jacksonville Jaguars,80.0,66.07,70.67,59.6,61.65,67.9,61.7,91.1,77.45,69.0,56.5,63.45,58.0,72.13,2021
Kansas City Chiefs,80.9,67.57,73.4,52.95,58.9,74.2,77.8,91.8,71.25,59.7,71.3,58.13,93.8,71.17,2021
Las Vegas Raiders,23.4,56.8,60.35,72.7,59.3,74.0,72.9,84.7,68.6,56.7,80.7,55.25,86.5,64.83,2021
Los Angeles Chargers,86.4,68.93,61.07,81.7,60.5,65.9,90.0,79.9,77.5,66.6,61.6,66.55,69.3,76.1,2021
Los Angeles Rams,73.4,70.57,75.67,68.3,53.75,70.5,86.8,82.0,78.05,49.4,80.6,75.45,67.6,77.47,2021
Miami Dolphins,49.1,66.1,70.0,77.43,60.5,51.3,52.3,65.4,66.15,65.8,89.9,70.2,78.1,81.73,2021
Minnesota Vikings,61.4,62.17,72.1,71.35,66.5,66.2,95.6,83.5,89.0,66.3,78.0,68.1,61.3,88.9,2021
New England Patriots,67.7,70.4,66.77,63.8,62.25,84.3,82.6,70.9,77.9,85.4,68.9,64.65,71.65,72.9,2021
New Orleans Saints,69.4,66.0,80.95,79.7,75.27,61.9,84.9,68.4,81.75,53.8,79.4,71.5,76.9,69.83,2021
New York Giants,59.7,79.85,70.2,78.85,56.15,58.1,62.4,78.4,72.2,32.2,69.7,66.27,63.5,76.33,2021
New York Jets,62.2,61.37,72.45,73.9,61.63,81.8,74.4,95.4,70.3,63.0,79.9,68.35,57.6,80.3,2021
Philadelphia Eagles,69.6,61.47,67.65,74.7,57.53,62.4,70.3,56.2,65.6,92.8,71.9,68.5,79.5,76.7,2021
Pittsburgh Steelers,88.0,61.27,83.97,82.25,55.0,66.2,57.4,69.0,89.8,34.8,78.6,73.8,70.25,71.97,2021
San Francisco 49ers,65.9,67.37,57.7,82.9,69.8,78.8,91.9,67.5,79.3,81.3,79.7,69.4,84.9,75.13,2021
Seattle Seahawks,59.8,74.07,75.05,65.25,71.97,71.2,87.8,90.5,77.3,63.7,71.4,62.9,62.45,81.97,2021
Tampa Bay Buccaneers,63.6,67.23,71.3,70.5,63.45,80.7,72.8,93.3,65.5,67.7,84.1,68.6,62.8,77.7,2021
Tennessee Titans,78.6,69.9,65.33,62.55,60.75,72.8,80.2,90.6,91.8,71.1,77.7,66.2,69.35,80.73,2021
Washington Commanders,76.4,65.23,74.5,83.55,66.7,65.9,74.9,75.1,70.5,86.3,90.8,72.05,65.2,79.43,2021
Arizona Cardinals,57.4,60.1,67.23,68.65,52.77,64.5,67.5,82.9,81.9,55.9,60.8,66.55,71.7,73.03,2022
Atlanta Falcons,77.1,72.67,57.1,76.85,57.9,52.5,71.3,64.8,76.8,83.7,62.8,58.7,80.3,72.53,2022
Baltimore Ravens,95.4,66.55,71.97,72.85,59.15,66.3,89.4,70.2,72.0,75.6,71.0,74.13,81.05,60.3,2022
Buffalo Bills,63.4,63.4,69.1,76.5,49.45,68.1,79.4,90.9,77.0,66.3,79.1,80.75,63.6,78.27,2022
